Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Unc13d,785.596515366654,-0.5111864045924556,0.5040228110047987,0.23737558553556076,0.3530730933634333,FALSE
Fras1,43.22062308146383,-0.511449741732408,0.452508929858024,0.20197976702544013,0.31316515961979935,FALSE
Cdk10,607.8832931448495,-0.5115128452396658,0.33385238108669113,0.10203308006712111,0.18407771292993771,FALSE
Pld1,642.0006392300048,-0.5120771139466701,0.2702347047304891,0.047471157898012394,0.10207933459519011,FALSE
Gm43148,2.0430546782320462,-0.5121341392512376,1.0336925666026913,0.23311255059202718,NA,NA
Prkag1,2046.2801267574653,-0.5121419965595637,0.30185105406819285,0.07347560947777228,0.1433933118649812,FALSE
Mtrf1,112.95428187879598,-0.5124983157441975,0.29868893424821297,0.0707016605246882,0.13920403431199446,FALSE
Gm6855,1.783884235382445,-0.5125278021512115,1.0079337153687786,0.2527830399713679,NA,NA
Aida,715.9256152777995,-0.5126242857708785,0.3076531922846998,0.07806077986660835,0.149991376064982,FALSE
Pcsk2,3.6029580966200974,-0.5127162675407427,1.0478428514488636,0.21730081597542444,0.33073101958416656,FALSE
Traf2,576.5820096596997,-0.5127395061313997,0.38639256223578555,0.14690521908369555,0.24484203180615927,FALSE
Tnfrsf13b,123.48678360858051,-0.5128886000310401,0.756695324471317,0.32618656562387616,0.4495548699341438,FALSE
Gm14236,1.9290974837998849,-0.5129764507168787,1.1002706373778028,0.1551522401044314,NA,NA
Gm12109,1.3614168855127653,-0.5133827888582899,1.0583263129846137,0.20503828149303302,NA,NA
0610025J13Rik,2.57682348266712,-0.5133900018014185,1.0418176868257456,0.22333938236302173,0.3376060431068933,FALSE
Gm5148,62.977188870680685,-0.5136530786945395,0.5007485620495451,0.23252870497347466,0.34787404289467827,FALSE
Pithd1,718.9333227568266,-0.5138538673252129,0.2787033149965137,0.053008248248302935,0.11109806019254025,FALSE
Dexi,618.354708406939,-0.5138746072087361,0.36273971079043715,0.1260514982411341,0.2178340500890783,FALSE
Ap5s1,384.94855657555854,-0.5139122569194751,0.32551500496359614,0.09351942817680221,0.17218813170750277,FALSE
1700001L19Rik,69.65845171384096,-0.5139738432936211,0.7241250546875952,0.3220142372001595,0.4455797272062126,FALSE
Ppp6c,1041.3077695035936,-0.5142422046655687,0.34928619075016415,0.1135031552298168,0.20038211355387411,FALSE
1700001P01Rik,2.8321456121306907,-0.5142634899100473,0.9597253202544612,0.2846578794563486,0.40469256667683995,FALSE
Gm15199,3.7081451524042417,-0.5144569601113315,1.1569621652889792,0.07170836687849078,0.1407375146981422,FALSE
Sirpb1a,44.712055604777696,-0.5148119663528529,0.6508761827153898,0.30150296169613716,0.4232178197879683,FALSE
G2e3,160.9131480195936,-0.5148334790709149,0.4909521498316833,0.2277307256541892,0.3425275932025027,FALSE
Gm6128,2.090240551462245,-0.5150852322295416,0.9759586711390345,0.27505145900839373,NA,NA
