Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
Ppp1r9a,638.6361486525038,0.18629954799009343,0.6187345110365441,0.3010977158490681,0.7633399827451492,0.8357811163626491,FALSE
Cpne2,408.5790138877243,0.18594610559638755,0.3054869233110925,0.6086876111781367,0.542731520285173,0.6604528367495681,FALSE
Slc25a10,3562.5860810694035,0.18569669757210866,0.5243970488046383,0.35411468847012734,0.723252934601472,0.8050998627281489,FALSE
Sec61a1,5186.793209294817,0.18565603765031274,0.2710273547933709,0.6850084848145879,0.49333856682628807,0.6156446406338667,FALSE
Dusp2,97.91888541488818,0.1854411829172901,0.6427611145274927,0.28850715876552646,0.7729585514754279,0.8428551015094763,FALSE
4933427E11Rik,5.148189475312987,0.18511661393289286,1.5378240091633069,0.12037568202203473,0.9041855542442103,0.9368658168930201,FALSE
Tmem123,2841.7274327600535,0.18507849356828998,0.47387705624356213,0.39056225898635577,0.696120827105544,0.784401767185162,FALSE
Bag5,645.1015167940303,0.1846412974970645,0.18038832480075265,1.0235767625261196,0.30603522559074486,0.43412868255303017,FALSE
Gm44066,34.04228757935552,0.1846277056368247,0.5110621065208933,0.3612627570721225,0.717903031899445,0.8014027741651316,FALSE
9130604C24Rik,10.307546265314958,0.18454266070456893,1.078139160748394,0.17116775591053385,0.8640918603521318,0.9081378325888744,FALSE
Itpk1,562.4812805906965,0.18421691261713996,0.39006614912872695,0.47227095462812374,0.636733399518006,0.7371209768655289,FALSE
4930451G09Rik,53.280721539496675,0.18393418538535022,0.7222487006293026,0.2546687660705883,0.7989789420387736,0.861337848660073,FALSE
Sytl1,1052.1794835293545,0.18392835933141885,0.6997117930542046,0.2628630261161976,0.7926561552587299,0.857280103552361,FALSE
Thoc5,694.7781579869943,0.1838420593694188,0.3178324394643009,0.5784244669275429,0.5629775792611906,0.6776564602299329,FALSE
Ccl21a,1171.0627920066977,0.18383903178883293,0.6012717976679467,0.3057502987864372,0.7597947730871284,0.8328689915099041,FALSE
Pik3r3,407.4332533055175,0.183711340625722,0.4111990934895663,0.44676980940470745,0.6550412717520414,0.7516935473449136,FALSE
Rpn1,6909.255725609092,0.18359245445486952,0.27574305038210983,0.6658099059992881,0.5055326123542552,0.627294896294839,FALSE
Apbb1,1428.5015875705224,0.18346016249356845,0.44612563225404833,0.4112298178578903,0.6809040259001765,0.7729434666425452,FALSE
Tysnd1,643.2805753171033,0.18339838297199768,0.29681390792271495,0.6178901260238497,0.5366477681856517,0.6555098410913909,FALSE
Fut2,1133.7091134083282,0.18316855804182458,0.8382823898978928,0.2185045997019399,0.8270359748589842,0.8827389174947134,FALSE
Hgh1,211.77981442031788,0.1827721060125091,0.45617914674016047,0.4006586169459781,0.6886714827973424,0.7790744059686773,FALSE
Gm6190,0.7596005727616301,0.18275784379103166,3.312152347608668,0.05517797027753887,0.9559966793645519,NA,NA
Sec23a,525.8162942740624,0.1827339223920163,0.2832824661604934,0.6450590637278926,0.5188889108185668,0.6397584342207282,FALSE
Cav2,4237.895304025298,0.18245026591024188,0.3115664442601851,0.5855902304995336,0.5581509150917622,0.6733400644287844,FALSE
Cd37,318.4678404088265,0.18237865863155106,0.8416587299743188,0.21668955853058866,0.8284502857696779,0.8835610175228228,FALSE
Letm1,1611.9223827343121,0.18183745092838946,0.2504301014782926,0.7261006159203718,0.4677770914847579,0.5926956899741445,FALSE
Fam183b,294.4655614040654,0.18169933421392784,0.9248245332489018,0.1964689816084565,0.8442431086095696,0.8945598348402026,FALSE
Cipc,712.6678735994662,0.18080840163286052,0.21460009781225708,0.8425364362650047,0.3994877535703044,0.5281934606413182,FALSE
Nol11,466.20386417134614,0.18043297011098783,0.2508650009022736,0.7192432960438228,0.4719910269891465,0.596329176855468,FALSE
