Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
Tax1bp1,4224.490993000111,-0.526328982350236,0.23445995346983323,-2.2448566356896253,0.02477733755745922,0.4166819718512473,FALSE
Mef2a,1346.185991796718,-0.5263770258955511,0.35404555618957784,-1.4867494216300696,0.13708100444048202,0.6018989530810637,FALSE
Fam49b,875.6258325935481,-0.5264405906950087,0.3256576527107952,-1.6165460455569933,0.10597630644443982,0.5629201712825679,FALSE
Rpl28-ps3,2.7961854218503865,-0.5265936665010216,1.4341866386916045,-0.3671723416566119,0.7134904688442111,NA,NA
Fermt2,1470.1973720268359,-0.52660195202116,0.39500817193950805,-1.333141918141897,0.18248523550410686,0.637961736138192,FALSE
E230015B07Rik,1.498237502364044,-0.5268181953564555,1.9614526988470962,-0.26858572509350287,0.7882484985020909,NA,NA
Alpk1,124.23657258298712,-0.5269321091028218,0.3165830132236246,-1.6644358259696426,0.09602536560417436,0.5485337724132733,FALSE
Cacnb1,103.84879985673129,-0.5269844300004894,0.40617754370495923,-1.297423843754598,0.19448539287336153,0.6481174442364752,FALSE
Mgp,20518.29657261146,-0.5271150700026946,0.5098292642545919,-1.033905087369545,0.30118053646986137,0.7241762172168644,FALSE
Nacad,41.09035359763467,-0.5271376281305478,0.6086383737229552,-0.8660933172946707,0.38643898962518486,0.7740265176283138,FALSE
Ppat,451.2327571855311,-0.5271663279026997,0.22921239587563458,-2.299903222462402,0.021453703495516827,0.40948997020527866,FALSE
Mdn1,346.78254839479206,-0.5273354647992625,0.37446213781658394,-1.4082477546970524,0.15905772007727345,0.6194514564957024,FALSE
Ankrd12,429.79606898329854,-0.5273739141300576,0.42605521838773047,-1.2378064893225234,0.21578782168060914,0.6633393353487076,FALSE
Zhx1,989.0281656104364,-0.5274543665758666,0.3858518928259142,-1.366986598699516,0.17162950610040428,0.6291807640837377,FALSE
Sgo1,22.378156201141355,-0.5274742489534849,0.7084076856719189,-0.7445913696619199,0.45651878681276403,0.8125886004198751,FALSE
Ppp1r10,743.864371853284,-0.5277752872540649,0.22106997089361025,-2.38736760637679,0.016969513620368967,0.39130360778960477,FALSE
Trbv16,1.8516626333893351,-0.5280970735429241,2.7098562450216557,-0.19488010646804765,0.8454868083383524,NA,NA
Gm12695,14.366744613262188,-0.5281893535627885,1.3504137936317515,-0.39113148581095,0.6957000484279492,0.9109974029261285,FALSE
Dbf4,139.80628113311153,-0.528351237285569,0.47206242904883416,-1.1192401783597818,0.26303768896284097,0.6984212886748788,FALSE
