Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
Smarce1,996.2046858351966,0.2748958183944014,0.22050126903230988,1.2466858789557405,0.21251269856676863,0.32804714903498067,FALSE
Crhr2,4.7847481345456995,0.2748763587751445,1.7736438496874252,0.1549783282723794,0.8768384023990932,0.9205675783318552,FALSE
Tet2,297.4778758862281,0.27466039305595263,0.41515428618550837,0.6615863118735159,0.5082363823551481,0.6266891046285014,FALSE
Canx,6864.579823485833,0.27462483483447364,0.27599888719930654,0.9950215293301503,0.31972579343367036,0.4449791970468608,FALSE
Gm10698,66.96239305344236,0.27419836117836727,0.6375756536564515,0.4300640396255079,0.6671490576668162,0.7622699194044678,FALSE
Zfp81,105.79821085608113,0.2740839262537253,0.6146288896168058,0.44593401137490396,0.655644913326998,0.7530476589586922,FALSE
Pelo,179.2210562260079,0.2740054398118994,0.5126633448858245,0.5344744120001855,0.5930133482110893,0.7006623836963756,FALSE
Slc27a1,784.867461706199,0.27375109285586446,0.33215240145336433,0.8241731556298874,0.4098411777096828,0.5355705635744552,FALSE
Ddx28,281.27046582604623,0.2731970718577214,0.36230650489376437,0.75404959107159375,0.4508194445516873,0.5741189641183669,FALSE
Spred2,520.9082819224939,0.2729830902748145,0.35145941084530163,0.7767129911765849,0.4373281205029922,0.5610086627889073,FALSE
Slc31a1,2249.6569013429207,0.27285652717431585,0.34837239032996353,0.7832323535050459,0.4334906791209453,0.5577909458394886,FALSE
Gm9531,20.16974517828714,0.2727609793980249,0.7321374955763102,0.3725543098749751,0.7094801838374394,0.7960542964540366,FALSE
Tpra1,1085.1608519525855,0.27243972061829747,0.41146529866349874,0.6621207705807093,0.5078938253582654,0.6263919693032051,FALSE
Zbtb2,218.42155023907756,0.27219448392989826,0.3505111977340454,0.7765643029083171,0.4374158691819829,0.5610466649762926,FALSE
Prpf38b,1132.7974240856042,0.2717110157482553,0.34881358814294694,0.7789576581429095,0.4360046574398072,0.5599807006769661,FALSE
Kdm1a,1282.9492850484578,0.271701218331161,0.24807337767101142,1.095245370067417,0.27340915384133785,0.39536806853236156,FALSE
Tma16,127.11001709479604,0.2713986865444923,0.42755346088427904,0.6347713476185581,0.5255775529311077,0.6427387976266968,FALSE
Afg3l1,1214.272065581259,0.2711753582680325,0.3789649345123855,0.7155684697238653,0.4742578485243722,0.595637744178193,FALSE
Shtn1,1433.0414773076734,0.2710355661711521,0.39019302948034845,0.6946191902303125,0.48729398267506574,0.6081330619653594,FALSE
Plscr3,1466.203346183161,0.27076992763409835,0.2996481976754267,0.9036260846373961,0.3661937049729147,0.4918848785487141,FALSE
